"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Hablo español (0)","UPDATE-Hablo español (0)","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A15U7DSTCY2Q9Q","https://requester.mturk.com/workers/A15U7DSTCY2Q9Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","33","","Never Blocked","",""
"A165NT5C5RXGJQ","https://requester.mturk.com/workers/A165NT5C5RXGJQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A18JTILA9KVVJ4","https://requester.mturk.com/workers/A18JTILA9KVVJ4","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A1A6P3E6P6ZHLU","https://requester.mturk.com/workers/A1A6P3E6P6ZHLU","2","2","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A1BA17SQL5FWAF","https://requester.mturk.com/workers/A1BA17SQL5FWAF","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1DWT5G0UCDY0N","https://requester.mturk.com/workers/A1DWT5G0UCDY0N","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A1FGEK2Y0ZQEAM","https://requester.mturk.com/workers/A1FGEK2Y0ZQEAM","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A1IX6Q3KQM8HYH","https://requester.mturk.com/workers/A1IX6Q3KQM8HYH","6","6","100.00%","4","4","100.00%","2","2","100.00%","100","","Never Blocked","",""
"A1IZ4NX41GKU4X","https://requester.mturk.com/workers/A1IZ4NX41GKU4X","4","4","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A1JX3IY1SALYJL","https://requester.mturk.com/workers/A1JX3IY1SALYJL","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1K8O36N2ZDCXW","https://requester.mturk.com/workers/A1K8O36N2ZDCXW","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1M82YWDR8IVSA","https://requester.mturk.com/workers/A1M82YWDR8IVSA","3","3","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1S8POKPUCKLEN","https://requester.mturk.com/workers/A1S8POKPUCKLEN","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1SN8CB73WX7I7","https://requester.mturk.com/workers/A1SN8CB73WX7I7","1","1","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"A1UEZU1PV5R60P","https://requester.mturk.com/workers/A1UEZU1PV5R60P","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1XE8631DQB4NV","https://requester.mturk.com/workers/A1XE8631DQB4NV","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A217M5CHYXKABY","https://requester.mturk.com/workers/A217M5CHYXKABY","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A219X7QYB4ILSA","https://requester.mturk.com/workers/A219X7QYB4ILSA","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A21TIBPEO824YA","https://requester.mturk.com/workers/A21TIBPEO824YA","6","6","100.00%","3","3","100.00%","2","2","100.00%","66","","Never Blocked","",""
"A25BPULXC7MF4T","https://requester.mturk.com/workers/A25BPULXC7MF4T","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A25NI7DEN0IDCI","https://requester.mturk.com/workers/A25NI7DEN0IDCI","3","3","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A2A5TB24FKEKVP","https://requester.mturk.com/workers/A2A5TB24FKEKVP","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A2DGEYTC623BQI","https://requester.mturk.com/workers/A2DGEYTC623BQI","1","1","100.00%","0","0","0.00%","0","0","0.00%","33","","Never Blocked","",""
"A2EZNZ6X58RTNR","https://requester.mturk.com/workers/A2EZNZ6X58RTNR","1","1","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"A2LY2G1AVIVK0Z","https://requester.mturk.com/workers/A2LY2G1AVIVK0Z","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A2MM1BLJGIP830","https://requester.mturk.com/workers/A2MM1BLJGIP830","4","4","100.00%","3","3","100.00%","2","2","100.00%","66","","Never Blocked","",""
"A2P4J6SJ0KLF2G","https://requester.mturk.com/workers/A2P4J6SJ0KLF2G","1","1","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"A2QAJ9ZTN8YY89","https://requester.mturk.com/workers/A2QAJ9ZTN8YY89","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A2SRC38HIJ2X19","https://requester.mturk.com/workers/A2SRC38HIJ2X19","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A2TWMENPI3W7H4","https://requester.mturk.com/workers/A2TWMENPI3W7H4","1","1","100.00%","1","1","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A2YH6YQIHS4GLK","https://requester.mturk.com/workers/A2YH6YQIHS4GLK","1","1","100.00%","1","1","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A30M9SZYJKFDS9","https://requester.mturk.com/workers/A30M9SZYJKFDS9","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A31ZHT1TVCFADY","https://requester.mturk.com/workers/A31ZHT1TVCFADY","5","5","100.00%","4","4","100.00%","4","4","100.00%","100","","Never Blocked","",""
"A33SG6E90V97U5","https://requester.mturk.com/workers/A33SG6E90V97U5","2","2","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A35065ZCC1QJ7M","https://requester.mturk.com/workers/A35065ZCC1QJ7M","6","6","100.00%","6","6","100.00%","6","6","100.00%","100","","Never Blocked","",""
"A3AVQX8C72WZCD","https://requester.mturk.com/workers/A3AVQX8C72WZCD","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3CK3G44U565F5","https://requester.mturk.com/workers/A3CK3G44U565F5","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3D8ZG1VV5FO35","https://requester.mturk.com/workers/A3D8ZG1VV5FO35","1","1","100.00%","0","0","0.00%","0","0","0.00%","0","","Never Blocked","",""
"A3DGMV7HQ51C20","https://requester.mturk.com/workers/A3DGMV7HQ51C20","8","8","100.00%","3","3","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A3DM7UHHDWBK9L","https://requester.mturk.com/workers/A3DM7UHHDWBK9L","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3GB8KV4741TYM","https://requester.mturk.com/workers/A3GB8KV4741TYM","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3MFFF0TPDZQZS","https://requester.mturk.com/workers/A3MFFF0TPDZQZS","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3N47ED9HKFJKZ","https://requester.mturk.com/workers/A3N47ED9HKFJKZ","1","1","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"A3RLCK6EINDQPD","https://requester.mturk.com/workers/A3RLCK6EINDQPD","2","2","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A3U58Y73JK9JOT","https://requester.mturk.com/workers/A3U58Y73JK9JOT","3","3","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"A3V1KYYC1HCJJG","https://requester.mturk.com/workers/A3V1KYYC1HCJJG","3","3","100.00%","3","3","100.00%","0","0","0.00%","100","","Never Blocked","",""
"A7YZZK2PTE98F","https://requester.mturk.com/workers/A7YZZK2PTE98F","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"AAE69FDIBDSK2","https://requester.mturk.com/workers/AAE69FDIBDSK2","1","1","100.00%","1","1","100.00%","0","0","0.00%","66","","Never Blocked","",""
"AAEZQL4J6CQGM","https://requester.mturk.com/workers/AAEZQL4J6CQGM","4","4","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"AAIQ2SQ5K5RFE","https://requester.mturk.com/workers/AAIQ2SQ5K5RFE","2","2","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"ADBFO2BI0V9IE","https://requester.mturk.com/workers/ADBFO2BI0V9IE","2","2","100.00%","2","2","100.00%","2","2","100.00%","100","","Never Blocked","",""
"AEN7H01OU26XL","https://requester.mturk.com/workers/AEN7H01OU26XL","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"AIDWWRWBP7304","https://requester.mturk.com/workers/AIDWWRWBP7304","1","1","100.00%","1","1","100.00%","1","1","100.00%","100","","Never Blocked","",""
"AIGG0V6UPXCHJ","https://requester.mturk.com/workers/AIGG0V6UPXCHJ","2","2","100.00%","1","1","100.00%","1","1","100.00%","100","","Never Blocked","",""
"AJUFMQ7TO20HY","https://requester.mturk.com/workers/AJUFMQ7TO20HY","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"AP6GOMRX5KROI","https://requester.mturk.com/workers/AP6GOMRX5KROI","1","1","100.00%","1","1","100.00%","0","0","0.00%","100","","Never Blocked","",""
"APC99TPURUHR8","https://requester.mturk.com/workers/APC99TPURUHR8","4","4","100.00%","4","4","100.00%","3","3","100.00%","66","","Never Blocked","",""
"AQ277F26ZFB1K","https://requester.mturk.com/workers/AQ277F26ZFB1K","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"AQ2UJLOY5W7TQ","https://requester.mturk.com/workers/AQ2UJLOY5W7TQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"AQISFIZ6GD09I","https://requester.mturk.com/workers/AQISFIZ6GD09I","3","3","100.00%","2","2","100.00%","1","1","100.00%","100","","Never Blocked","",""
"AR67RZM4TDX5M","https://requester.mturk.com/workers/AR67RZM4TDX5M","1","1","100.00%","1","1","100.00%","1","1","100.00%","66","","Never Blocked","",""
"ARIGP8M8O3EO4","https://requester.mturk.com/workers/ARIGP8M8O3EO4","1","1","100.00%","1","1","100.00%","0","0","0.00%","66","","Never Blocked","",""
"ASS1XQSTXVT1F","https://requester.mturk.com/workers/ASS1XQSTXVT1F","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"ASWRCA8J5G771","https://requester.mturk.com/workers/ASWRCA8J5G771","1","1","100.00%","1","1","100.00%","1","1","100.00%","100","","Never Blocked","",""
"AULLOJOPY0IDP","https://requester.mturk.com/workers/AULLOJOPY0IDP","0","0","0.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"AYOHUGWIBJ6G6","https://requester.mturk.com/workers/AYOHUGWIBJ6G6","0","0","0.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"AZ08XRK3DV4I2","https://requester.mturk.com/workers/AZ08XRK3DV4I2","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""